|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 249.7205177 28.4515327 84810a221-004737 16.144     0.323    3.4 15.310     0.415    2.6 0000     BC              10 57971.91452126         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.208041 171.949178 
 249.7199702 28.4526205 73741a198-005291 16.165     0.232    4.7 14.494      null    1.4 0000     BU               0 57609.42710197         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.240336 320.544399 
 249.7202124 28.4527402 90854a059-004586 16.264     0.268    4.1 14.632      null    1.1 0000     BU              10 58169.69020453         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.258424 343.085203 
 249.7209712 28.4516895 95861a136-003768 16.269     0.260    4.2 15.171      null    1.1 0000     BU               5 58333.53875924         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.382023 132.909959 
 249.7196661 28.4521402 73725a198-003170 16.578     0.344    3.2 14.705     0.329    3.3 0000     BB              10 57608.90297506         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.386227 270.017468 
 249.7210274 28.4525536 79629b066-002820 15.948     0.210    5.2 14.815      null    2.0 0000     BU               5 57802.28163462         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.431686  52.242719 
 249.7199616 28.4527089 90868a035-005236 15.974     0.227    4.8 15.546     0.496    2.2 0000     BC              10 58170.14836998         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.509904 324.684844 
 249.7197018 28.4524589 46422a071-002926 16.316     0.281    3.9 15.399     0.473    2.3 0000     BC               5 56712.58096174           null              null           null              null           null              null           null              null 2.546674 296.795174 
 249.7200292 28.4527871 57433b068-004591 16.495     0.306    3.5 14.599      null    1.8 0000     BU              10 57074.71767179         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.637591 332.032743 
 249.7211144 28.4517142 73733a138-003321 16.052     0.251    4.3 14.616      null    1.3 0000     BU              10 57609.16504064         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.679645 124.892858 
 249.7210226 28.4526698 90872a035-003589 15.446      null    1.9 14.909      null    1.8 0000     UU              10 58170.27927440         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.697337  45.000606 
 249.7209537 28.4515531 62754a226-004661 16.192     0.292    3.7 15.417     0.454    2.4 0000     BC              10 57249.34632895         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.705123 141.356822 
